brand, product_name, shipping_fees, average_rating
MSI,MSI GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti 4GT OC,$9.99 Shipping,rated 5 out of 5
MSI,MSI Ventus GeForce GTX 1650 4GB GDDR5 PCI Express 3.0 x16 Video Card GTX 1650 VENTUS XS 4G OC,Free Shipping,rated 4 out of 5
ASRock,ASRock OC Formula Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 ATX Video Card RX6900XT OCF 16G,$9.99 Shipping,rated 4 out of 5
ASRock,ASRock Radeon RX 6900 XT PHANTOM GAMING D Graphics Card 16GB GDDR6| AMD RDNA2 (RX6900XT PGD 16GO),Free Shipping,rated 4 out of 5
ZOTAC,ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR6 128-bit Gaming Graphics Card| Super Compact| ZT-T16520F-10L,Free Shipping,rated 5 out of 5
Sapphire Tech,SAPPHIRE PULSE AMD Radeon RX 6800 XT Gaming Graphics Card with 16GB GDDR6| AMD RDNA 2 (SKU#11304-03-20G),$9.99 Shipping,rated 5 out of 5
GIGABYTE,GIGABYTE Radeon RX 6700 XT GAMING OC 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTGAMING OC-12GD Video Card,$9.99 Shipping,rated 5 out of 5
Sapphire Tech,Sapphire Nitro+ AMD Radeon RX 6700 XT Gaming OC 12GB GDDR6 HDMI / Triple DP (11306-01-20G),$9.99 Shipping,rated 5 out of 5
ASRock,ASRock Challenger Pro Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Video Card RX6600XT CLP 8GO,$9.99 Shipping,rated 5 out of 5
XFX,XFX SPEEDSTER SWFT 210 Radeon RX 6600 8GB GDDR6 PCI Express 4.0 ATX Video Card RX-66XL8LFDQ,$9.99 Shipping,rated 5 out of 5
XFX,XFX SPEEDSTER QICK319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6| HDMI 3 x DP| AMD RDNA 2,Free Shipping,rated 5 out of 5
GIGABYTE,GIGABYTE GeForce GT 730 GV-N730D3-2GI (rev. 3.0) Graphics Card| 2GB 64-bit GDDR3| GV-N730D3-2GI REV3.0 Video Card,$9.99 Shipping,rated 4 out of 5
PowerColor,PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate Gaming Graphics Card with 16GB GDDR6 Memory| Powered by AMD RDNA 2| HDMI 2.1 (AXRX 6900XTU 16GBD6-3DHE/OC),$9.99 Shipping,rated 5 out of 5
MSI,MSI Ventus GeForce GTX 1650 4GB GDDR6 PCI Express 3.0 x16 Video Card GTX 1650 D6 VENTUS XS OCV1,Free Shipping,rated 4 out of 5
MSI,MSI Gaming Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 Video Card RX 6900 XT GAMING Z TRIO 16G,$9.99 Shipping,rated 5 out of 5
Sapphire Tech,SAPPHIRE Toxic Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 ATX Video Card 11308-06-20G,Free Shipping,rated 5 out of 5
PowerColor,PowerColor Red Devil AMD Radeon RX 6900 XT Gaming Graphics Card with 16GB GDDR6 Memory| Powered by AMD RDNA 2| Raytracing| PCI Express 4.0| HDMI 2.1| AMD Infinity Cache| AXRX 6900XT 16GBD6-3DHE/OC,Free Shipping,rated 5 out of 5
XFX,XFX Speedster ZERO AMD Radeon RX 6900 XT EKWB RGB Waterblock Limited Edition RGB Gaming Graphics Card with 16GB GDDR6| AMD RDNA 2 - RX-69XTAWBD9,$9.99 Shipping,rated 5 out of 5
GIGABYTE,GIGABYTE Radeon RX 6900 XT GAMING OC Video Card| GV-R69XTGAMING OC-16GD,$9.99 Shipping,rated 4 out of 5
GIGABYTE,GIGABYTE AORUS Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 ATX Video Card GV-R69XTAORUSX WB-16GD,Free Shipping,rated 5 out of 5
MSI,MSI Ventus GeForce GTX 1650 4GB GDDR6 PCI Express 3.0 x16 Video Card GTX 1650 D6 Ventus XS OC,Free Shipping,rated 5 out of 5
MSI,MSI Gaming Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 Video Card RX 6900 XT Gaming X Trio 16G,$9.99 Shipping,rated 5 out of 5
ASUS,ASUS GeForce GT 730 2GB GDDR5 PCI Express 2.0 Low Profile Video Card for Silent HTPC Builds (with I/O Port Brackets) GT730-SL-2GD5-BRK,$0.99 Shipping,Not Applicable
MSI,MSI Gaming Radeon RX 6800 XT 16GB GDDR6 PCI Express 4.0 CrossFireX Support Video Card RX 6800 XT GAMING X TRIO 16G,$9.99 Shipping,rated 4 out of 5
